Country Name,Indicator,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States,GDP (2010),5.433E+11,5.633E+11,6.051E+11,6.386E+11,6.858E+11,7.437E+11,8.15E+11,8.617E+11,9.425E+11,1.0199E+12,1.0733E+12,1.16485E+12,1.27911E+12,1.42538E+12,1.54524E+12,1.6849E+12,1.87341E+12,2.08183E+12,2.3516E+12,2.62733E+12,2.85731E+12,3.20704E+12,3.34379E+12,3.63404E+12,4.03761E+12,4.33898E+12,4.57963E+12,4.85522E+12,5.23644E+12,5.64158E+12,5.96314E+12,6.15813E+12,6.52033E+12,6.85856E+12,7.28724E+12,7.63975E+12,8.07312E+12,8.57755E+12,9.06282E+12,9.63066E+12,1.02523E+13,1.05818E+13,1.09364E+13,1.14582E+13,1.22137E+13,1.30366E+13,1.38146E+13,1.44519E+13,1.47128E+13,1.44489E+13,1.49921E+13,1.55426E+13,1.6197E+13,1.67848E+13,1.75217E+13,1.82193E+13,1.87072E+13,1.94854E+13,2.04941E+13
Japan,GDP (2010),44307342950,53508617739,60723018684,69498131797,81749006382,90950278258,1.05628E+11,1.23782E+11,1.46601E+11,1.72204E+11,2.12609E+11,2.40152E+11,3.18031E+11,4.32083E+11,4.79626E+11,5.21542E+11,5.86162E+11,7.21412E+11,1.01361E+12,1.05501E+12,1.10539E+12,1.21899E+12,1.13452E+12,1.24332E+12,1.31838E+12,1.39889E+12,2.07895E+12,2.53281E+12,3.07168E+12,3.05491E+12,3.13282E+12,3.58442E+12,3.90881E+12,4.45414E+12,4.90704E+12,5.44912E+12,4.83371E+12,4.41473E+12,4.03251E+12,4.56208E+12,4.88752E+12,4.30354E+12,4.11512E+12,4.44566E+12,4.81515E+12,4.75541E+12,4.53038E+12,4.51526E+12,5.03791E+12,5.23138E+12,5.7001E+12,6.15746E+12,6.20321E+12,5.15572E+12,4.85041E+12,4.38948E+12,4.92667E+12,4.85995E+12,4.97092E+12
United States,Consumer price index (2010 = 100),13.56306078,13.70828375,13.872615,14.04458957,14.22420745,14.44968521,14.88535411,15.29809307,15.95159642,16.82293422,17.80510008,18.56943148,19.17707495,20.36178863,22.61274461,24.68026107,26.09809582,27.79491154,29.91593119,33.28281103,37.79236632,41.6980998,44.25478835,45.67644476,47.64077647,49.32994887,50.26625484,52.10829353,54.23313484,56.8509699,59.91976049,62.45734075,64.34906098,66.24842452,67.9758135,69.88282035,71.93122852,73.61275761,74.75543306,76.39110227,78.97072076,81.20256846,82.49046688,84.36307882,86.62167812,89.56053237,92.44970508,95.08699238,98.73747739,98.38641997,100,103.1568416,105.2915045,106.8338489,108.5669321,108.695722,110.0670089,112.4115573,115.1573032
Japan,Consumer price index (2010 = 100),18.97098938,19.9894397,21.35580592,22.78811966,23.65415695,25.2285755,26.50030562,27.55762756,29.02904861,30.55302167,32.668566,34.75783476,36.44133644,40.67167401,50.11655012,55.995856,61.24492791,66.24363291,69.03220237,71.58767159,77.15617716,80.94621428,83.16498316,84.74488474,86.66148666,88.42268842,88.94932228,89.06155573,89.66588967,91.70335837,94.52646119,97.59993093,99.31796598,100.5525339,101.2518346,101.1223345,101.2604679,103.030303,103.712337,103.35837,102.6590693,101.8993352,100.958301,100.6993007,100.6906674,100.4057671,100.656134,100.7165674,102.1065354,100.7252007,100,99.7323664,99.68056635,100.0259,102.7885695,103.6001036,103.4792368,103.962704,104.9814383
United States,Real interest rate (%),,3.107884875,3.215345976,3.374882242,2.951669,2.565913126,2.649420629,2.406227032,1.863911247,2.851773364,2.280321199,0.622615407,0.887217688,2.409732335,1.651069705,-1.281427035,1.266891595,0.575074756,1.889901104,4.034513098,5.716428328,8.594585289,8.177395439,6.618174451,8.141074845,6.563326292,6.193866159,5.59256508,5.590367092,6.690695342,6.039744376,4.91535245,3.884240017,3.546688729,4.898356138,6.594068899,6.324007949,6.603407039,7.148191875,6.457134914,6.844844183,4.626756868,3.045071183,2.224101122,1.604588938,2.98135678,4.786447648,5.223405889,3.082411292,2.468828896,2.060736709,1.137338321,1.307083113,1.469299287,1.332891842,2.167480568,2.391984287,1.958659371,
Japan,Real interest rate (%),,0.195711505,3.850069124,2.1573192,2.438519264,2.53461008,2.388644462,1.724113179,2.419301361,2.846328855,-12.45000771,2.380530224,1.364442597,-4.896967091,-9.6819073,1.792720991,0.22987227,0.761186732,1.73614703,3.519849045,2.757402342,4.796288112,5.472782926,6.124589245,5.198606184,5.273809218,4.338026755,5.374797046,4.381558969,3.112797835,4.150884935,4.471483714,4.410602463,4.412381173,3.857658953,4.060956598,3.169808093,1.935252813,2.367104309,3.516372376,3.499271106,3.108264873,3.372381681,3.495587467,2.899232098,2.74280614,2.570922086,2.631929162,2.919028021,2.348964468,3.560983326,3.229311638,2.185700285,1.642399108,-0.517122124,-0.981506242,0.775095567,1.216762685,
